Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spec_bzip_1	1.625545	0.009840	0.000052	0.260147
spec_bzip_2	1.568358	0.006406	0.000039	0.239579
spec_bzip_3	1.762777	0.014788	0.000070	0.389456
spec_bzip_4	1.733908	0.011737	0.000070	0.501141
spec_bzip_5	1.725947	0.010943	0.000070	0.541104
spec_bzip_6	1.693425	0.008137	0.000070	0.744686
spec_bzip_7	1.725947	0.010943	0.000070	0.541104
spec_bzip_8	1.706361	0.009844	0.000052	0.422921
spec_bzip_9	1.674225	0.006656	0.000052	0.634310
spec_bzip_10	1.615582	0.008146	0.000070	0.548997
spec_bzip_11	1.625545	0.009840	0.000052	0.260147
spec_bzip_12	1.595505	0.006652	0.000052	0.400484
spec_bzip_13	1.578183	0.006643	0.000052	0.355401
spec_bzip_14	1.608244	0.009832	0.000052	0.230856
spec_bzip_15	1.578147	0.006643	0.000052	0.355400
spec_bzip_16	1.580989	0.006426	0.000039	0.269146
spec_bzip_17	1.614321	0.010170	0.000039	0.165346
spec_bzip_18	1.580989	0.006426	0.000039	0.269146
spec_bzip_19	1.568383	0.006405	0.000039	0.239581
spec_bzip_20	1.601726	0.010149	0.000039	0.147184
spec_bzip_21	1.568358	0.006406	0.000039	0.239579
