Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spec_hmmer_1	1.178721	0.000090	0.000056	0.941364
spec_hmmer_2	1.176550	0.000048	0.000037	0.914882
spec_hmmer_3	1.187649	0.001638	0.000079	0.080654
spec_hmmer_4	1.185839	0.000702	0.000079	0.194939
spec_hmmer_5	1.185557	0.000669	0.000078	0.208092
spec_hmmer_6	1.183970	0.000173	0.000078	0.962664
spec_hmmer_7	1.185557	0.000669	0.000078	0.208139
spec_hmmer_8	1.179746	0.000368	0.000055	0.201171
spec_hmmer_9	1.178721	0.000090	0.000055	0.945280
spec_hmmer_10	1.183970	0.000173	0.000078	0.962664
spec_hmmer_11	1.179746	0.000368	0.000055	0.201171
spec_hmmer_12	1.178721	0.000090	0.000055	0.945280
spec_hmmer_13	1.178721	0.000090	0.000056	0.941364
spec_hmmer_14	1.179746	0.000368	0.000055	0.201171
spec_hmmer_15	1.178721	0.000090	0.000055	0.945280
spec_hmmer_16	1.176563	0.000048	0.000039	0.905187
spec_hmmer_17	1.177266	0.000216	0.000037	0.185189
spec_hmmer_18	1.176550	0.000048	0.000037	0.914882
spec_hmmer_19	1.176563	0.000048	0.000039	0.905187
spec_hmmer_20	1.177266	0.000216	0.000037	0.185189
spec_hmmer_21	1.176550	0.000048	0.000037	0.914882
