Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spec_libm_1	1.990606	0.015244	0.000081	0.999919
spec_libm_2	1.989308	0.015244	0.000080	0.999922
spec_libm_3	3.496180	0.060972	0.000085	0.999981
spec_libm_4	3.496180	0.060972	0.000085	0.999981
spec_libm_5	3.496180	0.060972	0.000085	0.999982
spec_libm_6	3.534550	0.060972	0.000085	0.999982
spec_libm_7	3.496180	0.060972	0.000085	0.999982
spec_libm_8	2.584771	0.030487	0.000083	0.999961
spec_libm_9	2.567901	0.030487	0.000083	0.999961
spec_libm_10	3.493293	0.060972	0.000085	0.999982
spec_libm_11	2.581257	0.030487	0.000083	0.999961
spec_libm_12	2.581257	0.030487	0.000083	0.999961
spec_libm_13	2.576597	0.030487	0.000084	0.999958
spec_libm_14	2.576600	0.030487	0.000083	0.999961
spec_libm_15	2.576600	0.030487	0.000083	0.999961
spec_libm_16	1.990606	0.015244	0.000081	0.999919
spec_libm_17	1.990606	0.015244	0.000080	0.999922
spec_libm_18	1.990606	0.015244	0.000080	0.999922
spec_libm_19	1.989308	0.015244	0.000081	0.999919
spec_libm_20	1.989308	0.015244	0.000080	0.999922
spec_libm_21	1.989308	0.015244	0.000080	0.999922
