Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spec_mcf_1	1.123187	0.001120	0.000013	0.659583
spec_mcf_2	1.106962	0.000644	0.000009	0.548701
spec_mcf_3	1.164542	0.002108	0.000018	0.824538
spec_mcf_4	1.163892	0.001932	0.000018	0.901493
spec_mcf_5	1.163529	0.001877	0.000018	0.920099
spec_mcf_6	1.163061	0.001816	0.000018	0.948854
spec_mcf_7	1.163529	0.001877	0.000018	0.920099
spec_mcf_8	1.133872	0.001120	0.000013	0.862079
spec_mcf_9	1.133126	0.001047	0.000013	0.917994
spec_mcf_10	1.154860	0.001816	0.000018	0.820557
spec_mcf_11	1.123187	0.001120	0.000013	0.659583
spec_mcf_12	1.122793	0.001047	0.000013	0.707570
spec_mcf_13	1.122503	0.001047	0.000013	0.701050
spec_mcf_14	1.122884	0.001120	0.000013	0.653408
spec_mcf_15	1.122503	0.001047	0.000013	0.701050
spec_mcf_16	1.107147	0.000644	0.000009	0.553344
spec_mcf_17	1.107728	0.000748	0.000009	0.473172
spec_mcf_18	1.107147	0.000644	0.000009	0.553404
spec_mcf_19	1.106962	0.000644	0.000009	0.548641
spec_mcf_20	1.107630	0.000748	0.000009	0.469336
spec_mcf_21	1.106962	0.000644	0.000009	0.548701
