Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spec_sjeng_1	10.270271	0.121830	0.000019	0.999992
spec_sjeng_2	5.171437	0.030461	0.000009	0.999974
spec_sjeng_3	10.273131	0.121831	0.000019	0.999979
spec_sjeng_4	10.272923	0.121831	0.000019	0.999983
spec_sjeng_5	10.272833	0.121831	0.000019	0.999986
spec_sjeng_6	10.410857	0.121830	0.000019	0.999992
spec_sjeng_7	10.272833	0.121831	0.000019	0.999986
spec_sjeng_8	6.801093	0.060918	0.000013	0.999978
spec_sjeng_9	6.947617	0.060917	0.000013	0.999985
spec_sjeng_10	10.270271	0.121830	0.000019	0.999992
spec_sjeng_11	6.799380	0.060918	0.000013	0.999978
spec_sjeng_12	6.799609	0.060917	0.000013	0.999985
spec_sjeng_13	6.795137	0.060917	0.000013	0.999985
spec_sjeng_14	6.795331	0.060918	0.000013	0.999978
spec_sjeng_15	6.795137	0.060917	0.000013	0.999985
spec_sjeng_16	5.175651	0.030461	0.000009	0.999974
spec_sjeng_17	5.175651	0.030461	0.000009	0.999964
spec_sjeng_18	5.175651	0.030461	0.000009	0.999974
spec_sjeng_19	5.171414	0.030461	0.000009	0.999974
spec_sjeng_20	5.171381	0.030461	0.000009	0.999964
spec_sjeng_21	5.171437	0.030461	0.000009	0.999974
